region_id	canonical_name	canonical_reading	region_type	parent_region_id	alternative_names	source_reference	notes
REGION-淡路国	淡路国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-滋賀県	滋賀県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-熊本県	熊本県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-琉球	琉球	-	dou	-	-	律令制度|現代行政	五畿七道(律令体制)
REGION-琉球国	琉球国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-甲斐国	甲斐国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-畿内	畿内	-	dou	-	-	律令制度|現代行政	五畿七道(律令体制)
REGION-相模国	相模国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-石川県	石川県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-石見国	石見国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-神奈川県	神奈川県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-福井県	福井県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-福岡県	福岡県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-福島県	福島県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-秋田県	秋田県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-筑前国	筑前国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-筑後国	筑後国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-紀伊国	紀伊国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-美作国	美作国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-美濃国	美濃国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-群馬県	群馬県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-肥前国	肥前国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-肥後国	肥後国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-能登国	能登国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-若狭国	若狭国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-茨城県	茨城県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-薩摩国	薩摩国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-蝦夷地	蝦夷地	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-西海道	西海道	-	dou	-	-	律令制度|現代行政	五畿七道(律令体制)
REGION-讃岐国	讃岐国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-豊前国	豊前国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-豊後国	豊後国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-越中国	越中国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-越中国(古)	越中国(古)	-	other	-	-	律令制度|現代行政	その他(派生・別名)
REGION-越前国	越前国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-越後国	越後国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-近江国	近江国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-遠江国	遠江国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-長崎県	長崎県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-長野県	長野県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-長門国	長門国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-阿波国	阿波国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-陸奥国	陸奥国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-隠岐国	隠岐国	-	ancient_country	-	-	律令制度|現代行政	令制国
